Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam NL;Ruimtenaam EN;Soort studieplek;Email adres gebouw;Email adres onderwijszaal;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00001;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.010;01.Mid.010;01.Mid.010;BIBLIOTHEEK;Library;aanlandstudieplek;Building-08@tudelft.nl;;52.005665;4.370518;B;17;1;17;0;17;0;17;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00050;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.250;00.250;00.250;KANTOOR - KAMER;Coffee corner;horecaplek;Building-20@tudelft.nl;;52.001952;4.373581;C;2;0;0;0;0;2;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00059;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;begane grond;21.00.00.060;0.06;0.06;RODE ZAAL;RODE ZAAL;concentratiestudieplek;Building-21@tudelft.nl;;52.002941;4.375635;A;38;1;38;38;0;0;38;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00107;22 - Technische Natuurkunde;22 - Applied Physics;22 - Technische Natuurkunde;TNW;AS;1e verdieping;22.01.01.020;A 102;A 102;STUDY ROOM/AREA;Study Spot;aanlandstudieplek / groepswerkplek;Building-22@tudelft.nl;;52.001637;4.373938;B;46;23;2;0;0;46;23;1;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00141;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.200;HG 0.20;HG 0.20;PROJECT ROOM;Hall;onderwijsruimte;Building-23@tudelft.nl;Room-23.HG.0.20@tudelft.nl;51.999561;4.375434;A;96;12;8;96;0;0;96;2;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00195;31 - Techniek, Bestuur en Management;31- Technology, Policy, Management;31 - Techniek, Bestuur en Management;TBM;TBM;1e verdieping;31.05.01.010;51.010;51.010;STUDY ROOM/AREA;Study Spot;concentratiestudieplek;Building-31@tudelft.nl;;52.002473;4.369949;A;20;2;10;20;0;0;20;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00222;32 - Industrieel Ontwerpen;32 - Industrial Design Engineering;32 - Industrieel Ontwerpen;IO;IDE;begane grond;32.01.00.100;A-0-100;A-0-100;RESTAURANT;Restaurant;horecaplek;Building-32@tudelft.nl;;52.001440;4.369694;C;40;10;4;0;40;0;10;1;rumoerig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00252;35 - Drebbelweg;35 - Education Building 35;35 - Drebbelweg;DW;DW;1e verdieping;35.00.01.070;1.070;1.070;PROJECT ROOM 1;Group room;onderwijsruimte;Building-35@tudelft.nl;;51.999100;4.371846;B;6;1;6;1;0;0;4;2;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00265;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.01.01.320;A-1-320;A-1-320;WACHTRUIMTE;Waiting room;informeel zitje;Building-34@tudelft.nl;;52.001140;4.371737;C;12;3;4;0;13;4;3;1;rustig;nee;nee;ja (<1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00296;36 - EWI;36 - Electrical Engineering, Mathematics and Computer Science;36 - EWI;EWI-36;EEMCS-36;begane grond;36.01.00.130;HB 00.130;HB 00.130;STUDY ROOM/AREA;Corridor;aanlandstudieplek / groepswerkplek;Building-36@tudelft.nl;;51.998987;4.373433;B;16;4;4;0;16;0;4;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
