Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam;Soort studieplek;Email adres;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00001;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;010;01.Mid.010;01.Mid.010;BIBLIOTHEEK - ramen links;aanlandplek;;;;B;17;1;17;0;17;0;17;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00002;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;100;01.Mid.100;01.Mid.100;BIBLIOTHEEK - rechts midden;concentratiewerkplek;;;;A;16;2;8;16;0;0;16;1;stil;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00003;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;100;01.Mid.100;01.Mid.100;BIBLIOTHEEK - ramen rechts;concentratiewerkplek;;;;A;20;1;20;20;0;0;20;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00004;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;803;01.Mid.803;01.Mid.803;BIBLIOTHEEK - PC-plekken;concentratiewerkplek;;;;A;7;1;7;0;7;0;7;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00005;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;803;01.Mid.803;01.Mid.803;BIBLIOTHEEK - paarse stoelen;informeel zitje;;;;C;10;3;3;0;0;10;10;1;stil;nee;nee;nee;nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00006;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;010;01.Oost.010;01.Oost.010;STUDIERUIMTE;onderwijsruimte;;;;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00007;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;050;01.Oost.050;01.Oost.050;STUDIERUIMTE;onderwijsruimte;;;;B;20;2;10;20;0;0;16;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00008;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;330;01.Oost.330;01.Oost.330;STUDIERUIMTE;onderwijsruimte;;;;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00009;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;560;01.Oost.560;01.Oost.560;STUDIERUIMTE;onderwijsruimte;;;;B;100;10;10;100;0;0;80;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00010;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;620;01.Oost.620;01.Oost.620;STUDIERUIMTE;informeel zitje;;;;C;22;7;3;0;22;0;7;1;rustig;nee;ja;ja (<1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
