Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam NL;Ruimtenaam EN;Soort studieplek;Email adres gebouw;Email adres onderwijszaal;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep
SSP00001;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.03.01.801;C-1-801;C-1-801;GANG;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.001591;4.371567;B;72;9;8;0;72;0;36;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;>25m;0-25m;nee
SSP00002;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.05.01.806;E-1-806;E-1-806;GANG;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.000461;4.372337;B;72;9;8;0;72;0;36;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;0-25m;0-25m;nee
SSP00003;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.06.01.801;F-1-801;F-1-801;HAL;Corridor;aanlandstudieplek / groepswerkplek;Building-34@tudelft.nl;;52.000561;4.372071;B;5;1;5;0;5;0;2;1;rustig;nee;nee;ja (<1 pp);nee;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00004;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.01.00.805;A-0-805;A-0-805;HAL;Corridor;onderwijsruimte;Building-34@tudelft.nl;;52.000799;4.371138;B;105;15;7;0;105;7;60;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;0-25m;0-25m;0-25m;nee
SSP00005;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.03.04.330;C-4-330;C-4-330;PROJECTRUIMTE;Group room;groepswerkplek;Building-34@tudelft.nl;;52.001899;4.371707;B;5;1;5;5;0;0;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;ja
SSP00006;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.03.04.340;C-4-340;C-4-340;PROJECTRUIMTE;Group room;groepswerkplek;Building-34@tudelft.nl;;52.001899;4.371707;B;5;1;5;5;0;0;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;ja
SSP00007;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.05.04.330;E-4-330;E-4-330;PROJECTRUIMTE;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000799;4.372466;B;5;1;5;5;0;0;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00008;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.05.04.340;E-4-340;E-4-340;PROJECTRUIMTE;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000799;4.372466;B;5;1;5;5;0;0;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00009;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.080;G-0-080;G-0-080;PROJECTRUIMTE 1;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;6;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;ja;nee;nee;>25m;0-25m;0-25m;nee
SSP00010;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.100;G-0-100;G-0-100;PROJECTRUIMTE 2;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;3;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00011;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.120;G-0-120;G-0-120;PROJECTRUIMTE 3;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;3;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00012;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.140;G-0-140;G-0-140;PROJECTRUIMTE 4;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;3;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00013;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.160;G-0-160;G-0-160;PROJECTRUIMTE 5;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;3;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00014;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.180;G-0-180;G-0-180;PROJECTRUIMTE 6;Group room;groepswerkplek;Building-34@tudelft.nl;;52.000166;4.371881;B;6;1;6;0;6;0;3;1;rustig;ja;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00015;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.050;G-0-050;G-0-050;STILTE RUIMTE;Study Spot;concentratiestudieplek;Building-34@tudelft.nl;;52.000166;4.371881;A;56;7;8;56;0;0;42;1;stil;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00016;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.07.00.050;G-0-050;G-0-050;STILTE RUIMTE;Study Spot;concentratiestudieplek;Building-34@tudelft.nl;;52.000166;4.371881;A;28;7;4;28;0;0;28;1;stil;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00017;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.05.00.400;E-0-400;E-0-400;STUDIEPLAATSEN;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.000461;4.372337;B;64;8;8;0;64;0;32;2;rustig;nee;ja;ja (>/= 1 pp);nee;nee;ja;nee;nee;0-25m;0-25m;0-25m;nee
SSP00018;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.05.00.450;E-0-450;E-0-450;STUDIEPLAATSEN;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.000461;4.372337;B;40;5;8;0;40;0;20;2;rustig;nee;ja;ja (>/= 1 pp);nee;nee;ja;nee;nee;>25m;0-25m;0-25m;nee
