Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
23SSP001,08 - Bouwkunde,08.01.01.010,01.Mid.010,BK Library - with Monitors,BK Library - with Monitors,1e verdieping,52.005665,4.370518,31,25,stil,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
SSP00042,08 - Bouwkunde,08.01.01.010,01.Mid.010,BK Library,BK Library,1e verdieping,52.005665,4.370518,68,68,stil,daglicht,ja (<1 pp),nee,nee,>25m,0-50m,>25m
SSP00056,08 - Bouwkunde,08.02.00.760,BG.Oost.760,Espressobar BK Sterk,Espressobar BK Sterk,begane grond,52.006259,4.371339,39,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,>50m,0-25m
SSP00057,08 - Bouwkunde,08.04.00.300,BG.Zuid.300,Restaurant,Restaurant,begane grond,52.005366,4.37116,168,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00035,20 - Aula,20.00.01.255,1255,Projectruimte Noord 1,Projectruimte Noord 1,1e verdieping,52.002325,4.373297,6,0,rustig,daglicht,ja (<1 pp),nee,ja,>25m,0-50m,>25m
SSP00036,20 - Aula,20.00.01.260,1260,Projectruimte Noord 2,Projectruimte Noord 2,1e verdieping,52.002325,4.373297,4,0,rustig,daglicht,ja (<1 pp),nee,ja,>25m,0-50m,>25m
SSP00037,20 - Aula,20.00.01.270,1270,Projectruimte Noord 3,Projectruimte Noord 3,1e verdieping,52.002325,4.373297,16,0,rustig,daglicht,ja (<1 pp),nee,ja,>25m,0-50m,>25m
SSP00039,20 - Aula,20.00.00.270,0.27,Restaurant,Restaurant,begane grond,52.002304,4.373861,93,14,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00240,21 - Library ,21.00.00.060,0.06,Red Room,Red Room,begane grond,52.002941,4.375635,38,38,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,>50m,>25m
23SSP002,21 - Library ,21.00.01.010,1.01,Main Hall,Main Hall,1e verdieping,52.002686,4.375248,202,0,rustig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,>25m
23SSP003,21 - Library ,21.00.01.010,1.01,Main Hall - Reading Table,Main Hall - Reading Table,1e verdieping,52.002686,4.375248,10,0,rustig,daglicht,nee,nee,nee,nvt,0-50 m,0-25m
23SSP004,21 - Library ,21.00.01.010,1.01,Coffee Star - Seats Main Hall,Coffee Star - Seats Main Hall,1e verdieping,52.002686,4.375248,40,0,rustig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
SSP00205,21 - Library ,21.00.01.050,1.05,Blue Room,Blue Room,1e verdieping,52.002812,4.375346,30,0,stil,kunstmatig licht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,>25m
SSP00221,21 - Library ,21.00.01.060,1.06,Living Room,Living Room,1e verdieping,52.002812,4.375346,29,0,rumoerig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,>25m
SSP00210,21 - Library ,21.00.01.090,1.09,Glass Room,Glass Room,1e verdieping,52.002941,4.375635,87,28,stil,daglicht,ja (>/= 1 pp),nee,nee,>25m,0-50m,>25m
